,uf_instituicao,instituicao,contagem
0,ES,Universidade Federal do Espírito Santo,70
1,SP,Universidade Estadual de Campinas,13
2,PB,Universidade Estadual da Paraíba,8
3,MT,Universidade Federal do Mato Grosso,7
4,MS,Universidade Estadual de Mato Grosso do Sul,7
5,MA,Universidade Federal do Maranhão,7
6,PR,Universidade Estadual de Maringá,6
7,MT,Universidade do Estado de Mato Grosso,6
8,AM,Universidade Federal do Amazonas,5
9,BA,Universidade do Estado da Bahia,5
10,MG,Centro Federal de Educação Tecnológica de Minas Gerais,5
11,RS,Universidade Federal do Rio Grande do Sul,4
12,PE,Universidade Federal Rural de Pernambuco,4
13,RS,Universidade Federal de Pelotas,4
14,MG,Universidade Federal de Uberlândia,4
15,CE,Universidade Estadual Vale do Acaraú,4
16,DF,Universidade de Brasília,3
17,RJ,Universidade do Estado do Rio de Janeiro,3
18,PR,Universidade Estadual do Oeste do Paraná,3
19,SP,Universidade de São Paulo,3
20,SE,Universidade Federal de Sergipe,3
21,PB,Universidade Federal da Paraíba,3
22,MG,Universidade Federal de Viçosa,2
23,BA,Universidade Estadual de Feira de Santana,2
24,CE,Universidade Federal do Ceará,2
25,PR,Universidade Federal da Integração Latino-Americana,2
26,PR,Universidade Estadual de Londrina,2
27,BA,Universidade Estadual do Sudoeste da Bahia,2
28,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,2
29,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,2
30,GO,Universidade Estadual de Goiás,2
31,AL,Universidade Federal de Alagoas,2
32,RS,Universidade Federal de Rio Grande,2
33,RJ,Universidade Estadual do Norte Fluminense,1
34,SC,Universidade do Estado de Santa Catarina,1
35,RO,Universidade Federal de Rondônia,1
36,SP,Universidade Federal do ABC,1
37,RJ,Universidade Federal do Rio de Janeiro,1
38,RR,Universidade Federal de Roraima,1
39,AC,Universidade Federal do Acre,1
40,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,1
41,PR,Universidade Tecnológica Federal do Paraná,1
42,PR,Universidade Estadual do Paraná,1
43,PI,"Instituto Federal de Educação, Ciência e Tecnologia do Piauí",1
44,PA,Universidade Federal do Pará,1
45,PA,Universidade Federal do Oeste do Pará,1
46,ES,Faculdade de Música do Espírito Santo,1
47,CE,Universidade Estadual do Ceará,1
48,BA,Universidade Federal do Sul da Bahia,1
49,BA,Universidade Federal do Oeste da Bahia,1
50,BA,Universidade Estadual de Santa Cruz,1
51,AP,Universidade Federal do Amapá,1
52,TO,Universidade de Guripi,1
