,uf_instituicao,instituicao,contagem
0,RJ,Universidade do Estado do Rio de Janeiro,56
1,PR,Universidade Estadual de Londrina,50
2,PE,Universidade Federal do Vale do São Francisco,50
3,RJ,Universidade Estadual do Norte Fluminense,42
4,PR,Universidade Estadual do Oeste do Paraná,42
5,SP,Universidade Federal do ABC,38
6,BA,Universidade Estadual de Santa Cruz,38
7,CE,Universidade Estadual do Ceará,37
8,RS,Universidade Federal de Pelotas,35
9,BA,Universidade Federal do Sul da Bahia,34
10,SP,Universidade Estadual de Campinas,34
11,PE,Universidade Federal Rural de Pernambuco,30
12,PR,Universidade Estadual de Maringá,28
13,RJ,Universidade Federal do Rio de Janeiro,28
14,PI,Universidade Federal do Piauí,27
15,RO,Universidade Federal de Rondônia,26
16,MT,Universidade do Estado de Mato Grosso,26
17,MT,Universidade Federal do Mato Grosso,24
18,MG,Universidade Federal de Viçosa,24
19,PR,Universidade Estadual do Paraná,23
20,AL,Universidade Federal de Alagoas,23
21,BA,Universidade Estadual de Feira de Santana,23
22,PR,Universidade Tecnológica Federal do Paraná,21
23,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,20
24,CE,Universidade Federal do Ceará,19
25,MA,Universidade Federal do Maranhão,18
26,AM,Universidade Federal do Amazonas,18
27,SC,Universidade do Estado de Santa Catarina,17
28,ES,Universidade Federal do Espírito Santo,17
29,AC,Universidade Federal do Acre,16
30,PR,Universidade Estadual de Ponta Grossa,16
31,MG,Universidade Federal de Lavras,15
32,MT,Universidade Federal de Rondonópolis,15
33,MG,Universidade Federal de Uberlândia,15
34,PA,Universidade do Estado do Pará,14
35,SP,Universidade de São Paulo,14
36,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,13
37,CE,Universidade Regional do Cariri,13
38,SE,Universidade Federal de Sergipe,13
39,PR,Universidade Federal do Paraná,13
40,PA,Universidade Federal do Oeste do Pará,13
41,PE,Universidade de Pernambuco,12
42,RJ,Universidade Federal Fluminense,11
43,RR,Universidade Federal de Roraima,10
44,BA,Universidade do Estado da Bahia,9
45,SP,Universidade Federal de São Carlos,9
46,PR,Universidade Estadual do Norte do Paraná,8
47,MS,Universidade Estadual de Mato Grosso do Sul,8
48,DF,Universidade de Brasília,8
49,BA,Universidade Estadual do Sudoeste da Bahia,8
50,PA,Universidade Federal do Pará,7
51,PA,Universidade Federal Rural da Amazônia,7
52,PB,Universidade Federal da Paraíba,7
53,MS,Universidade Federal de Dourados,7
54,PI,Universidade Estadual do Piauí,7
55,PB,Universidade Estadual da Paraíba,6
56,PR,Universidade Federal da Integração Latino-Americana,6
57,DF,Universidade do Distrito Federal,6
58,PE,Universidade Federal de Pernambuco,5
59,RN,Universidade Federal do Rio Grande do Norte,5
60,MG,Universidade Federal dos Vales do Jequitinhonha e Mucuri,5
61,RS,Universidade Federal do Rio Grande do Sul,5
62,SC,Universidade Federal da Fronteira Sul,5
63,BA,Universidade Federal do Recôncavo da Bahia,5
64,RS,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul",5
65,RR,Universidade Estadual de Roraima,4
66,RS,Instituto Federal do Rio Grande do Sul,4
67,RS,Universidade Federal de Santa Maria,4
68,GO,Universidade Estadual de Goiás,4
69,MG,Universidade Federal de São João del Rei,3
70,MG,Universidade Federal de Ouro Preto,3
71,MG,Universidade Federal de Juiz de Fora,3
72,RJ,Universidade do Rio de Janeiro,2
73,SP,Universidade Federal de São Paulo,2
74,AC,Colégio de Aplicação da Universidade Federal do Acre,2
75,TO,Universidade de Guripi,2
76,PE,Universidade Federal do Agreste de Pernambuco,2
77,MG,Centro Federal de Educação Tecnológica de Minas Gerais,2
78,GO,Instituto Federal de Goiás,2
79,MG,Universidade do Estado de Minas Gerais,2
80,PA,Universidade Federal do Sul e Sudeste do Pará,2
81,BA,Universidade Federal da Bahia,2
82,PB,Universidade Federal de Campina Grande,2
83,AP,Universidade Federal do Amapá,2
84,PI,Universidade Federal do Delta do Parnaíba,2
85,PR,Instituto Federal do Paraná,2
86,PR,Universidade Estadual do Centro-Oeste,2
87,MA,Universidade Estadual do Maranhão,1
88,BA,Universidade Federal do Oeste da Bahia,1
89,CE,Universidade da Integração Internacional da Lusofonia Afro-Brasileira,1
90,SP,Rede Municipal de Diadema,1
91,SP,Faculdade de Medicina de Jundiaí,1
92,AM,Universidade Estadual do Amazonas,1
93,TO,Universidade Federal do Norte de Tocantins,1
94,MA,Universidade Estadual da Região Tocantina do Maranhão,1
95,RJ,Secretaria de Estado de Educação do Rio de Janeiro,1
96,RS,Universidade de Santa Cruz do Sul,1
97,RS,Universidade Federal do Pampa,1
98,RJ,Fundação Centro de Ciências e Educação Superior a Distância do Estado do Rio de Janeiro,1
99,MG,Universidade Estadual de Montes Claros,1
100,MG,Universidade Federal do Triângulo Mineiro,1
101,PA,Instituto Federal do Pará Campus Castanhal,1
102,RO,Instituto Federal de Rondônia,1
103,RN,Universidade Federal Rural do Semi-Árido,1
104,RJ,Universidade Federal do Estado do Rio de Janeiro,1
105,RJ,Colégio de Aplicação da Universidade do Estado do Rio de Janeiro,1
106,MG,Instituto Federal do Sudeste Mineiro,1
