,uf_instituicao,instituicao,contagem
0,SP,Universidade Estadual de Campinas,52
1,ES,Universidade Federal do Espírito Santo,42
2,BA,Universidade do Estado da Bahia,33
3,MA,Universidade Federal do Maranhão,32
4,SP,Universidade Federal do ABC,30
5,PR,Universidade Estadual de Londrina,26
6,RJ,Universidade do Estado do Rio de Janeiro,26
7,MG,Centro Federal de Educação Tecnológica de Minas Gerais,22
8,PI,"Instituto Federal de Educação, Ciência e Tecnologia do Piauí",21
9,PE,Universidade Federal do Vale do São Francisco,21
10,RS,Universidade Federal de Pelotas,20
11,PE,Universidade Federal Rural de Pernambuco,20
12,PR,Universidade Estadual do Paraná,19
13,BA,Universidade Federal do Sul da Bahia,18
14,RS,Universidade Federal do Rio Grande do Sul,18
15,MS,Universidade Federal de Dourados,18
16,BA,Universidade Estadual de Feira de Santana,18
17,MT,Universidade Federal do Mato Grosso,17
18,DF,Universidade de Brasília,16
19,BA,Universidade Estadual de Santa Cruz,16
20,RO,Universidade Federal de Rondônia,15
21,MT,Universidade do Estado de Mato Grosso,15
22,MG,Universidade Federal de Ouro Preto,15
23,CE,Universidade Estadual do Ceará,15
24,PR,Universidade Estadual do Oeste do Paraná,13
25,PA,Universidade do Estado do Pará,13
26,RJ,Universidade Federal do Rio de Janeiro,13
27,AC,Universidade Federal do Acre,12
28,AM,Universidade Federal do Amazonas,12
29,RJ,Universidade Estadual do Norte Fluminense,12
30,BA,Universidade Estadual do Sudoeste da Bahia,12
31,PR,Universidade Federal da Integração Latino-Americana,12
32,MG,Universidade Federal de São João del Rei,11
33,SP,Universidade de São Paulo,11
34,DF,Universidade do Distrito Federal,11
35,PI,Universidade Federal do Piauí,10
36,MG,Universidade Federal de Uberlândia,10
37,PR,Universidade Federal do Paraná,9
38,SC,Universidade do Estado de Santa Catarina,9
39,RS,Universidade Federal de Santa Maria,9
40,RS,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul",9
41,PR,Universidade Tecnológica Federal do Paraná,9
42,MS,Universidade Estadual de Mato Grosso do Sul,9
43,MG,Universidade Federal de Viçosa,9
44,PA,Universidade Federal Rural da Amazônia,8
45,SE,Universidade Federal de Sergipe,7
46,PR,Universidade Estadual de Maringá,7
47,AL,Universidade Federal de Alagoas,7
48,GO,Universidade Estadual de Goiás,7
49,MG,Universidade Federal de Lavras,7
50,RS,Instituto Federal do Rio Grande do Sul,6
51,CE,Universidade Federal do Ceará,6
52,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,6
53,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,6
54,MT,Universidade Federal de Rondonópolis,6
55,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,5
56,PB,Universidade Federal de Campina Grande,5
57,PE,Universidade de Pernambuco,5
58,PB,Universidade Estadual da Paraíba,5
59,CE,Universidade Regional do Cariri,5
60,MG,Universidade Federal de Juiz de Fora,5
61,PR,Universidade Estadual de Ponta Grossa,4
62,SP,Universidade Federal de São Paulo,4
63,PR,Universidade Estadual do Norte do Paraná,4
64,SC,Universidade Federal da Fronteira Sul,4
65,MG,Universidade Federal dos Vales do Jequitinhonha e Mucuri,4
66,SP,Universidade Federal de São Carlos,4
67,PE,Universidade Federal de Pernambuco,3
68,PA,Universidade Federal do Pará,3
69,BA,Universidade Federal do Recôncavo da Bahia,3
70,MA,Universidade Estadual do Maranhão,3
71,AP,Universidade Federal do Amapá,2
72,RJ,Universidade Federal Rural do Rio de Janeiro,2
73,AP,Universidade Estado do Amapá,2
74,RN,Universidade Federal Rural do Semi-Árido,2
75,TO,Universidade de Guripi,2
76,PR,Universidade Estadual do Centro-Oeste,2
77,RJ,Fundação Centro de Ciências e Educação Superior a Distância do Estado do Rio de Janeiro,2
78,PA,Universidade Federal do Sul e Sudeste do Pará,2
79,MG,Universidade do Estado de Minas Gerais,2
80,PA,Universidade Federal do Oeste do Pará,2
81,RJ,Universidade Federal Fluminense,1
82,MT,Instituto Saberes,1
83,PI,Universidade Federal do Delta do Parnaíba,1
84,PB,Universidade Federal da Paraíba,1
85,BA,Ceep em Biotecnologia e Saúde,1
86,SP,Universidade Estadual Paulista,1
87,SP,Instituto Federal de São Paulo,1
88,SP,Colégio Técnico de Campinas,1
89,BA,Universidade Federal da Bahia,1
90,MT,Instituto Federal do Mato Grosso,1
91,RJ,Universidade Federal do Estado do Rio de Janeiro,1
92,CE,Universidade da Integração Internacional da Lusofonia Afro-Brasileira,1
93,RS,Universidade Federal de Rio Grande,1
94,GO,Instituto Federal de Goiás Campus Goiânia Oeste,1
95,MA,Instituto Federal do Maranhão,1
96,RS,Eeiem Nhamandu Nhemopu'ã,1
97,MG,Universidade Estadual de Montes Claros,1
98,RJ,Universidade do Rio de Janeiro,1
99,PI,Universidade Estadual do Piauí,1
100,MG,Universidade Federal do Triângulo Mineiro,1
101,MG,Universidade Federal de Alfenas,1
