,uf_instituicao,instituicao,contagem
0,RJ,Universidade do Estado do Rio de Janeiro,77
1,PE,Universidade Federal do Vale do São Francisco,70
2,PR,Universidade Estadual de Londrina,68
3,SP,Universidade Federal do ABC,62
4,RS,Universidade Federal de Pelotas,54
5,PR,Universidade Estadual do Oeste do Paraná,53
6,RJ,Universidade Estadual do Norte Fluminense,51
7,CE,Universidade Estadual do Ceará,51
8,BA,Universidade Federal do Sul da Bahia,50
9,BA,Universidade Estadual de Santa Cruz,48
10,SP,Universidade Estadual de Campinas,48
11,PE,Universidade Federal Rural de Pernambuco,40
12,PR,Universidade Estadual do Paraná,38
13,RJ,Universidade Federal do Rio de Janeiro,38
14,RO,Universidade Federal de Rondônia,38
15,PI,Universidade Federal do Piauí,37
16,MT,Universidade do Estado de Mato Grosso,37
17,PR,Universidade Estadual de Maringá,35
18,MT,Universidade Federal do Mato Grosso,34
19,BA,Universidade Estadual de Feira de Santana,33
20,MG,Universidade Federal de Viçosa,32
21,MA,Universidade Federal do Maranhão,30
22,AL,Universidade Federal de Alagoas,30
23,CE,Universidade Federal do Ceará,25
24,AM,Universidade Federal do Amazonas,25
25,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,25
26,ES,Universidade Federal do Espírito Santo,25
27,PR,Universidade Tecnológica Federal do Paraná,24
28,MG,Universidade Federal de Uberlândia,23
29,PA,Universidade do Estado do Pará,22
30,SP,Universidade de São Paulo,22
31,SC,Universidade do Estado de Santa Catarina,22
32,AC,Universidade Federal do Acre,22
33,MT,Universidade Federal de Rondonópolis,21
34,MG,Universidade Federal de Lavras,20
35,PR,Universidade Estadual de Ponta Grossa,19
36,PR,Universidade Federal do Paraná,18
37,CE,Universidade Regional do Cariri,18
38,MS,Universidade Estadual de Mato Grosso do Sul,17
39,PE,Universidade de Pernambuco,16
40,SE,Universidade Federal de Sergipe,16
41,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,16
42,BA,Universidade do Estado da Bahia,15
43,PA,Universidade Federal do Oeste do Pará,15
44,BA,Universidade Estadual do Sudoeste da Bahia,14
45,PA,Universidade Federal Rural da Amazônia,13
46,DF,Universidade de Brasília,13
47,SP,Universidade Federal de São Carlos,13
48,RS,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul",11
49,PR,Universidade Estadual do Norte do Paraná,11
50,DF,Universidade do Distrito Federal,11
51,RJ,Universidade Federal Fluminense,11
52,RR,Universidade Federal de Roraima,10
53,PA,Universidade Federal do Pará,9
54,PR,Universidade Federal da Integração Latino-Americana,8
55,RS,Instituto Federal do Rio Grande do Sul,8
56,MG,Universidade Federal dos Vales do Jequitinhonha e Mucuri,8
57,SC,Universidade Federal da Fronteira Sul,8
58,PI,Universidade Estadual do Piauí,8
59,PE,Universidade Federal de Pernambuco,8
60,MS,Universidade Federal de Dourados,8
61,BA,Universidade Federal do Recôncavo da Bahia,8
62,PB,Universidade Federal da Paraíba,8
63,MG,Universidade Federal de Juiz de Fora,7
64,PB,Universidade Federal de Campina Grande,7
