,UF,Instituição de Ensino,Contagem,Proporção
0,ES,Universidade Federal do Espírito Santo,30,30.61%
1,AM,Universidade Federal do Amazonas,4,4.08%
2,PR,Universidade Estadual de Maringá,4,4.08%
3,PE,Universidade Federal Rural de Pernambuco,4,4.08%
4,RS,Universidade Federal de Pelotas,4,4.08%
5,MS,Universidade Estadual de Mato Grosso do Sul,3,3.06%
6,RJ,Universidade do Estado do Rio de Janeiro,3,3.06%
7,CE,Universidade Estadual Vale do Acaraú,3,3.06%
8,PB,Universidade Federal da Paraíba,3,3.06%
9,MT,Universidade do Estado de Mato Grosso,3,3.06%
10,MT,Universidade Federal do Mato Grosso,2,2.04%
11,PR,Universidade Estadual do Oeste do Paraná,2,2.04%
12,PR,Universidade Estadual de Londrina,2,2.04%
13,AL,Universidade Federal de Alagoas,2,2.04%
14,RS,Universidade Federal de Rio Grande,2,2.04%
15,RS,Universidade Federal do Rio Grande do Sul,2,2.04%
16,SE,Universidade Federal de Sergipe,2,2.04%
17,SP,Universidade Estadual de Campinas,2,2.04%
18,SP,Universidade de São Paulo,2,2.04%
19,BA,Universidade Estadual de Feira de Santana,2,2.04%
20,RJ,Universidade Estadual do Norte Fluminense,1,1.02%
21,SC,Universidade do Estado de Santa Catarina,1,1.02%
22,RO,Universidade Federal de Rondônia,1,1.02%
23,RJ,Universidade Federal do Rio de Janeiro,1,1.02%
24,PI,"Instituto Federal de Educação, Ciência e Tecnologia do Piauí",1,1.02%
25,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,1,1.02%
26,PR,Universidade Tecnológica Federal do Paraná,1,1.02%
27,PR,Universidade Federal da Integração Latino-Americana,1,1.02%
28,AM,Universidade Estadual do Amazonas,1,1.02%
29,PA,Universidade Federal do Pará,1,1.02%
30,MG,Universidade Federal de Uberlândia,1,1.02%
31,MG,Centro Federal de Educação Tecnológica de Minas Gerais,1,1.02%
32,CE,Universidade Federal do Ceará,1,1.02%
33,CE,Universidade Estadual do Ceará,1,1.02%
34,BA,Universidade do Estado da Bahia,1,1.02%
35,BA,Universidade Estadual de Santa Cruz,1,1.02%
36,TO,Universidade de Guripi,1,1.02%
