,UF,Instituição de Ensino,Contagem,Proporção
0,ES,Universidade Federal do Espírito Santo,26,39.39%
1,SP,Universidade Estadual de Campinas,5,7.58%
2,MS,Universidade Estadual de Mato Grosso do Sul,4,6.06%
3,DF,Universidade de Brasília,3,4.55%
4,MA,Universidade Federal do Maranhão,3,4.55%
5,RS,Universidade Federal do Rio Grande do Sul,2,3.03%
6,MG,Universidade Federal de Viçosa,2,3.03%
7,PR,Universidade Estadual de Maringá,2,3.03%
8,MT,Universidade Federal do Mato Grosso,2,3.03%
9,MT,Universidade do Estado de Mato Grosso,2,3.03%
10,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,1,1.52%
11,RR,Universidade Federal de Roraima,1,1.52%
12,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,1,1.52%
13,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,1,1.52%
14,PR,Universidade Estadual do Oeste do Paraná,1,1.52%
15,AC,Universidade Federal do Acre,1,1.52%
16,PB,Universidade Estadual da Paraíba,1,1.52%
17,AM,Universidade Federal do Amazonas,1,1.52%
18,ES,Faculdade de Música do Espírito Santo,1,1.52%
19,CE,Universidade Federal do Ceará,1,1.52%
20,CE,Universidade Estadual Vale do Acaraú,1,1.52%
21,BA,Universidade do Estado da Bahia,1,1.52%
22,BA,Universidade Federal do Sul da Bahia,1,1.52%
23,BA,Universidade Federal do Oeste da Bahia,1,1.52%
24,SP,Universidade Federal do ABC,1,1.52%
