,UF,Instituição de Ensino,Contagem,Proporção
0,ES,Universidade Federal do Espírito Santo,73,30.04%
1,SP,Universidade Estadual de Campinas,16,6.58%
2,PB,Universidade Estadual da Paraíba,8,3.29%
3,BA,Universidade do Estado da Bahia,8,3.29%
4,MT,Universidade Federal do Mato Grosso,7,2.88%
5,MA,Universidade Federal do Maranhão,7,2.88%
6,MS,Universidade Estadual de Mato Grosso do Sul,7,2.88%
7,MT,Universidade do Estado de Mato Grosso,6,2.47%
8,MG,Centro Federal de Educação Tecnológica de Minas Gerais,6,2.47%
9,PR,Universidade Estadual de Maringá,6,2.47%
10,AM,Universidade Federal do Amazonas,5,2.06%
11,GO,Universidade Estadual de Goiás,4,1.65%
12,RS,Universidade Federal do Rio Grande do Sul,4,1.65%
13,MG,Universidade Federal de Uberlândia,4,1.65%
14,PE,Universidade Federal Rural de Pernambuco,4,1.65%
15,RS,Universidade Federal de Pelotas,4,1.65%
16,PR,Universidade Estadual de Londrina,4,1.65%
17,CE,Universidade Estadual Vale do Acaraú,4,1.65%
18,PR,Universidade Estadual do Oeste do Paraná,3,1.23%
19,RO,Universidade Federal de Rondônia,3,1.23%
20,RJ,Universidade do Estado do Rio de Janeiro,3,1.23%
21,PB,Universidade Federal da Paraíba,3,1.23%
22,MG,Universidade Federal de Viçosa,3,1.23%
23,SP,Universidade de São Paulo,3,1.23%
24,BA,Universidade Estadual de Feira de Santana,3,1.23%
25,DF,Universidade de Brasília,3,1.23%
26,SE,Universidade Federal de Sergipe,3,1.23%
27,CE,Universidade Federal do Ceará,2,0.82%
28,PR,Universidade Federal da Integração Latino-Americana,2,0.82%
29,BA,Universidade Estadual do Sudoeste da Bahia,2,0.82%
30,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,2,0.82%
31,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,2,0.82%
32,AL,Universidade Federal de Alagoas,2,0.82%
33,RS,Universidade Federal de Rio Grande,2,0.82%
34,RS,Universidade Federal de Santa Maria,2,0.82%
35,MG,Universidade Federal de Ouro Preto,2,0.82%
36,RJ,Universidade Federal do Rio de Janeiro,1,0.41%
37,SP,Universidade Federal do ABC,1,0.41%
38,RS,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul",1,0.41%
39,RR,Universidade Federal de Roraima,1,0.41%
40,SC,Universidade do Estado de Santa Catarina,1,0.41%
41,AC,Universidade Federal do Acre,1,0.41%
42,RJ,Universidade Estadual do Norte Fluminense,1,0.41%
43,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,1,0.41%
44,PR,Universidade Tecnológica Federal do Paraná,1,0.41%
45,PR,Universidade Federal do Paraná,1,0.41%
46,PR,Universidade Estadual do Paraná,1,0.41%
47,PI,"Instituto Federal de Educação, Ciência e Tecnologia do Piauí",1,0.41%
48,PA,Universidade Federal do Pará,1,0.41%
49,PA,Universidade Federal do Oeste do Pará,1,0.41%
50,ES,Faculdade de Música do Espírito Santo,1,0.41%
51,CE,Universidade Estadual do Ceará,1,0.41%
52,BA,Universidade Federal do Sul da Bahia,1,0.41%
53,BA,Universidade Federal do Oeste da Bahia,1,0.41%
54,BA,Universidade Estadual de Santa Cruz,1,0.41%
55,AP,Universidade Federal do Amapá,1,0.41%
56,TO,Universidade de Guripi,1,0.41%
