,UF,Instituição de Ensino,Contagem,Proporção
0,RJ,Universidade do Estado do Rio de Janeiro,66,4.53%
1,PE,Universidade Federal do Vale do São Francisco,61,4.19%
2,SP,Universidade Federal do ABC,55,3.77%
3,PR,Universidade Estadual de Londrina,51,3.5%
4,SP,Universidade Estadual de Campinas,46,3.16%
5,RS,Universidade Federal do Rio Grande do Sul,43,2.95%
6,RJ,Universidade Estadual do Norte Fluminense,42,2.88%
7,PR,Universidade Estadual do Oeste do Paraná,42,2.88%
8,CE,Universidade Estadual do Ceará,38,2.61%
9,PE,Universidade Federal Rural de Pernambuco,38,2.61%
10,BA,Universidade Estadual de Santa Cruz,38,2.61%
11,BA,Universidade Federal do Sul da Bahia,35,2.4%
12,RS,Universidade Federal de Pelotas,35,2.4%
13,ES,Universidade Federal do Espírito Santo,34,2.33%
14,BA,Universidade Estadual de Feira de Santana,32,2.2%
15,AM,Universidade Federal do Amazonas,32,2.2%
16,PI,Universidade Federal do Piauí,28,1.92%
17,RJ,Universidade Federal do Rio de Janeiro,28,1.92%
18,PR,Universidade Estadual de Maringá,28,1.92%
19,MT,Universidade do Estado de Mato Grosso,27,1.85%
20,RO,Universidade Federal de Rondônia,26,1.78%
21,MT,Universidade Federal do Mato Grosso,24,1.65%
22,MG,Universidade Federal de Viçosa,24,1.65%
23,AL,Universidade Federal de Alagoas,24,1.65%
24,PR,Universidade Estadual do Paraná,23,1.58%
25,PR,Universidade Tecnológica Federal do Paraná,22,1.51%
26,PA,Universidade do Estado do Pará,22,1.51%
27,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,20,1.37%
28,CE,Universidade Federal do Ceará,19,1.3%
29,MA,Universidade Federal do Maranhão,18,1.24%
30,SC,Universidade do Estado de Santa Catarina,18,1.24%
31,AC,Universidade Federal do Acre,16,1.1%
32,PR,Universidade Estadual de Ponta Grossa,16,1.1%
33,MT,Universidade Federal de Rondonópolis,15,1.03%
34,MG,Universidade Federal de Uberlândia,15,1.03%
35,MG,Universidade Federal de Lavras,15,1.03%
36,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,15,1.03%
37,SP,Universidade de São Paulo,14,0.96%
38,CE,Universidade Regional do Cariri,14,0.96%
39,PE,Universidade de Pernambuco,13,0.89%
40,SE,Universidade Federal de Sergipe,13,0.89%
41,PA,Universidade Federal do Oeste do Pará,13,0.89%
42,PR,Universidade Federal do Paraná,13,0.89%
43,RJ,Universidade Federal Fluminense,11,0.75%
44,BA,Universidade do Estado da Bahia,11,0.75%
45,SP,Universidade Federal de São Carlos,10,0.69%
46,RR,Universidade Federal de Roraima,10,0.69%
