,UF,Instituição de Ensino,Contagem,Proporção
0,SP,Universidade Federal do ABC,24,4.59%
1,RJ,Universidade do Estado do Rio de Janeiro,21,4.02%
2,PE,Universidade Federal do Vale do São Francisco,20,3.82%
3,RS,Universidade Federal de Pelotas,19,3.63%
4,PR,Universidade Estadual de Londrina,18,3.44%
5,BA,Universidade Federal do Sul da Bahia,16,3.06%
6,PR,Universidade Estadual do Paraná,15,2.87%
7,CE,Universidade Estadual do Ceará,14,2.68%
8,SP,Universidade Estadual de Campinas,14,2.68%
9,RO,Universidade Federal de Rondônia,12,2.29%
10,MA,Universidade Federal do Maranhão,12,2.29%
11,PR,Universidade Estadual do Oeste do Paraná,11,2.1%
12,MT,Universidade do Estado de Mato Grosso,11,2.1%
13,RJ,Universidade Federal do Rio de Janeiro,10,1.91%
14,PI,Universidade Federal do Piauí,10,1.91%
15,PE,Universidade Federal Rural de Pernambuco,10,1.91%
16,MT,Universidade Federal do Mato Grosso,10,1.91%
17,BA,Universidade Estadual de Feira de Santana,10,1.91%
18,BA,Universidade Estadual de Santa Cruz,10,1.91%
19,RJ,Universidade Estadual do Norte Fluminense,9,1.72%
20,MS,Universidade Estadual de Mato Grosso do Sul,9,1.72%
21,SP,Universidade de São Paulo,8,1.53%
22,PA,Universidade do Estado do Pará,8,1.53%
23,ES,Universidade Federal do Espírito Santo,8,1.53%
24,MG,Universidade Federal de Uberlândia,8,1.53%
25,MG,Universidade Federal de Viçosa,8,1.53%
26,AL,Universidade Federal de Alagoas,7,1.34%
27,AM,Universidade Federal do Amazonas,7,1.34%
28,PR,Universidade Estadual de Maringá,7,1.34%
29,CE,Universidade Federal do Ceará,6,1.15%
30,BA,Universidade Estadual do Sudoeste da Bahia,6,1.15%
31,BA,Universidade do Estado da Bahia,6,1.15%
32,MT,Universidade Federal de Rondonópolis,6,1.15%
33,RS,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul",6,1.15%
34,PA,Universidade Federal Rural da Amazônia,6,1.15%
35,AC,Universidade Federal do Acre,6,1.15%
36,MG,Universidade Federal de Lavras,5,0.96%
37,PB,Universidade Federal de Campina Grande,5,0.96%
38,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,5,0.96%
39,PR,Universidade Federal do Paraná,5,0.96%
40,DF,Universidade de Brasília,5,0.96%
41,DF,Universidade do Distrito Federal,5,0.96%
42,CE,Universidade Regional do Cariri,5,0.96%
43,SC,Universidade do Estado de Santa Catarina,5,0.96%
44,MG,Universidade Federal de Juiz de Fora,4,0.76%
45,SP,Universidade Federal de São Carlos,4,0.76%
46,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,4,0.76%
47,PE,Universidade de Pernambuco,4,0.76%
48,PI,"Instituto Federal de Educação, Ciência e Tecnologia do Piauí",4,0.76%
49,RS,Instituto Federal do Rio Grande do Sul,4,0.76%
50,PR,Universidade Estadual de Ponta Grossa,3,0.57%
51,GO,Universidade Estadual de Goiás,3,0.57%
52,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,3,0.57%
53,PR,Universidade Tecnológica Federal do Paraná,3,0.57%
54,PR,Universidade Estadual do Norte do Paraná,3,0.57%
55,SE,Universidade Federal de Sergipe,3,0.57%
56,SC,Universidade Federal da Fronteira Sul,3,0.57%
57,PE,Universidade Federal de Pernambuco,3,0.57%
58,MG,Universidade Federal dos Vales do Jequitinhonha e Mucuri,3,0.57%
59,BA,Universidade Federal do Recôncavo da Bahia,3,0.57%
60,MG,Universidade Federal de Ouro Preto,3,0.57%
61,RN,Universidade Federal Rural do Semi-Árido,2,0.38%
62,MG,Centro Federal de Educação Tecnológica de Minas Gerais,2,0.38%
63,PA,Universidade Federal do Oeste do Pará,2,0.38%
64,PR,Universidade Federal da Integração Latino-Americana,2,0.38%
65,RS,Universidade Federal de Santa Maria,2,0.38%
66,AP,Universidade Estado do Amapá,2,0.38%
67,RJ,Fundação Centro de Ciências e Educação Superior a Distância do Estado do Rio de Janeiro,2,0.38%
68,PA,Universidade Federal do Pará,2,0.38%
69,SP,Universidade Estadual Paulista,1,0.19%
70,SP,Instituto Federal de São Paulo,1,0.19%
71,RS,Eeiem Nhamandu Nhemopu'ã,1,0.19%
72,SP,Universidade Federal de São Paulo,1,0.19%
73,RS,Universidade Federal do Rio Grande do Sul,1,0.19%
74,PB,Universidade Federal da Paraíba,1,0.19%
75,PR,Universidade Estadual do Centro-Oeste,1,0.19%
76,PI,Universidade Federal do Delta do Parnaíba,1,0.19%
77,PI,Universidade Estadual do Piauí,1,0.19%
78,PB,Universidade Estadual da Paraíba,1,0.19%
79,PA,Universidade Federal do Sul e Sudeste do Pará,1,0.19%
80,MT,Instituto Federal do Mato Grosso,1,0.19%
81,MS,Universidade Federal de Dourados,1,0.19%
82,MG,Universidade do Estado de Minas Gerais,1,0.19%
83,MG,Universidade Federal do Triângulo Mineiro,1,0.19%
84,MG,Universidade Federal de Alfenas,1,0.19%
85,MG,Universidade Estadual de Montes Claros,1,0.19%
86,GO,Instituto Federal de Goiás Campus Goiânia Oeste,1,0.19%
87,CE,Universidade da Integração Internacional da Lusofonia Afro-Brasileira,1,0.19%
88,BA,Universidade Federal da Bahia,1,0.19%
89,BA,Ceep em Biotecnologia e Saúde,1,0.19%
90,TO,Universidade de Guripi,1,0.19%
