,UF,Instituição de Ensino,Contagem,Proporção
0,RJ,Universidade do Estado do Rio de Janeiro,91,4.45%
1,PE,Universidade Federal do Vale do São Francisco,82,4.01%
2,SP,Universidade Federal do ABC,81,3.96%
3,PR,Universidade Estadual de Londrina,69,3.37%
4,SP,Universidade Estadual de Campinas,66,3.23%
5,RS,Universidade Federal do Rio Grande do Sul,60,2.93%
6,PE,Universidade Federal Rural de Pernambuco,58,2.83%
7,RS,Universidade Federal de Pelotas,54,2.64%
8,PR,Universidade Estadual do Oeste do Paraná,53,2.59%
9,CE,Universidade Estadual do Ceará,52,2.54%
10,RJ,Universidade Estadual do Norte Fluminense,51,2.49%
11,BA,Universidade Federal do Sul da Bahia,51,2.49%
12,ES,Universidade Federal do Espírito Santo,50,2.44%
13,BA,Universidade Estadual de Santa Cruz,48,2.35%
14,BA,Universidade Estadual de Feira de Santana,46,2.25%
15,AM,Universidade Federal do Amazonas,42,2.05%
16,RJ,Universidade Federal do Rio de Janeiro,40,1.96%
17,RO,Universidade Federal de Rondônia,38,1.86%
18,PR,Universidade Estadual do Paraná,38,1.86%
19,PI,Universidade Federal do Piauí,38,1.86%
20,MT,Universidade do Estado de Mato Grosso,38,1.86%
21,PR,Universidade Estadual de Maringá,35,1.71%
22,MT,Universidade Federal do Mato Grosso,34,1.66%
23,MG,Universidade Federal de Viçosa,32,1.56%
24,PA,Universidade do Estado do Pará,31,1.52%
25,AL,Universidade Federal de Alagoas,31,1.52%
26,MA,Universidade Federal do Maranhão,30,1.47%
27,CE,Universidade Federal do Ceará,25,1.22%
28,PR,Universidade Tecnológica Federal do Paraná,25,1.22%
29,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,25,1.22%
30,SC,Universidade do Estado de Santa Catarina,24,1.17%
31,SP,Universidade de São Paulo,23,1.12%
32,MG,Universidade Federal de Uberlândia,23,1.12%
33,AC,Universidade Federal do Acre,22,1.08%
34,MT,Universidade Federal de Rondonópolis,21,1.03%
35,MG,Universidade Federal de Lavras,20,0.98%
36,PR,Universidade Estadual de Ponta Grossa,19,0.93%
37,CE,Universidade Regional do Cariri,19,0.93%
38,PR,Universidade Federal do Paraná,19,0.93%
39,PE,Universidade de Pernambuco,18,0.88%
40,BA,Universidade do Estado da Bahia,18,0.88%
41,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,18,0.88%
42,MS,Universidade Estadual de Mato Grosso do Sul,17,0.83%
43,SE,Universidade Federal de Sergipe,16,0.78%
44,BA,Universidade Estadual do Sudoeste da Bahia,15,0.73%
45,PA,Universidade Federal do Oeste do Pará,15,0.73%
46,SP,Universidade Federal de São Carlos,14,0.68%
47,DF,Universidade de Brasília,13,0.64%
48,PA,Universidade Federal Rural da Amazônia,13,0.64%
49,PR,Universidade Estadual do Norte do Paraná,11,0.54%
50,DF,Universidade do Distrito Federal,11,0.54%
51,RS,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul",11,0.54%
52,RJ,Universidade Federal Fluminense,11,0.54%
53,PI,Universidade Estadual do Piauí,10,0.49%
54,RR,Universidade Federal de Roraima,10,0.49%
55,PA,Universidade Federal do Pará,9,0.44%
56,PR,Universidade Federal da Integração Latino-Americana,9,0.44%
57,PB,Universidade Federal da Paraíba,9,0.44%
58,BA,Universidade Federal do Recôncavo da Bahia,8,0.39%
59,PE,Universidade Federal de Pernambuco,8,0.39%
60,SC,Universidade Federal da Fronteira Sul,8,0.39%
61,RS,Instituto Federal do Rio Grande do Sul,8,0.39%
62,PB,Universidade Estadual da Paraíba,8,0.39%
63,MG,Universidade Federal dos Vales do Jequitinhonha e Mucuri,8,0.39%
64,MS,Universidade Federal de Dourados,8,0.39%
65,GO,Universidade Estadual de Goiás,7,0.34%
66,PR,Universidade Estadual do Centro-Oeste,7,0.34%
67,MG,Universidade Federal de Juiz de Fora,7,0.34%
68,PB,Universidade Federal de Campina Grande,7,0.34%
69,MG,Universidade Federal de Ouro Preto,6,0.29%
70,RS,Universidade Federal de Santa Maria,6,0.29%
71,RN,Universidade Federal do Rio Grande do Norte,5,0.24%
72,RR,Universidade Estadual de Roraima,4,0.2%
73,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,4,0.2%
